This table is found at TSOProtocolsD_base+0x5b9b8 in TSO Pre-Alpha.

0x16FAADF3: kPARAM_Prompt
0x16FC54FB: kGZIID_cIGZGetResKeySet
0x16FC574C: kGZIID_cIGZGetResKey
0x16FDCACC: kGZCLSID_cGZGetNameSet
0x16FDCACD: kGZCLSID_cGZGetNameSetI
0x1706CCE4: kGZCLSID_cGZUnknownList2
0x170E748E: kPARAM_UnkToStrListID
0x17153228: kENUMID_PushFront
0x171BC0DC: kTypeLeftRight
0x1721A9C5: kMIID_mFoo1
0x1721A9EB: kMIID_DoIt
0x172AA92C: kPARAM_MemberInfoMap
0x17321BFA: kGZIID_cIGZCellData
0x1736A1BF: GZCLSID_cPopRecord
0x1736F0AE: GZIID_cIPopCalculator
0x1756BAC6: kChildID_ScrollbarV
0x18B4FEBC: kWCMSTRID_DefaultPushSound
0x18B7C39A: kMSGID_CaptureChanged
0x18B9D168: kTitleLabel
0x18C8B6CF: GZIID_cITSOWinCheatHelp
0x18CD6C86: kWCMFONTID_TextEdit
0x18CDA4C1: kCMDID_TextEntered
0x18CF65DA: GZCLSID_cTSOWinScrollbar
0x18CF6CA0: GZCLSID_cTSOWinText
0x18D2BD04: kCMDID_SliderChanged
0x18DC5F70: kWCMBMPID_IconFrameBuffer
0x18E02905: GZCLSID_cTSOWinTutorialIcon
0x18E516EB: GZIID_cITSOWinPictureDialog
0x18E551EC: kWCMBMPID_StubBuffer
0x18E55204: kWCMBMPID_Background
0x18EA5458: kWCMCOLOR_SimsGaugeRed
0x18F4D378: GZCLSID_cTSOObjPickerTool
0x18FBF73A: GZIID_cITSOSkillProgressHeadline
0x18FC43F3: GZCLSID_cTSOCityMap
0x1904FFE7: GZIID_cITSOViewGlobals
0x190672D7: GZCLSID_cTSODrawGroup
